permissions,links,owner,group,size,month,day,time,name
-rw-r--r--,1,root,root,808,Jul,23,2019,arp:oneway
-rw-r--r--,1,root,root,834,Jul,23,2019,arp:remote
drwxr-xr-x,2,root,root,4096,Jul,31,2019,Desktop
drwxr-xr-x,14,root,root,4096,Oct,12,2019,Documents
drwxr-xr-x,3,root,root,4096,Aug,14,2019,Downloads
-rw-r--r--,1,root,root,0,Oct,12,2019,fixed_dump2.txt
-rw-r--r--,1,root,root,940817,Oct,12,2019,fixed_dump.txt
drwxr-xr-x,6,root,root,4096,Aug,13,2019,goodies
-rw-r--r--,1,root,root,40752,Jul,31,2019,hs_err_pid4872.log
drwxr-xr-x,2,root,root,4096,Jul,17,2019,Music
drwxr-xr-x,2,root,root,4096,Jul,17,2019,Pictures
drwxr-xr-x,2,root,root,4096,Jul,17,2019,Public
drwxr-xr-x,2,root,root,4096,Oct,11,2019,temp
drwxr-xr-x,2,root,root,4096,Jul,17,2019,Templates
drwxr-xr-x,2,root,root,4096,Jul,17,2019,Videos
-rw-r--r--,1,root,root,318,Jul,31,2019,WebScarab.properties
-rw-r--r--,1,root,root,11,Jul,31,2019,key.txt
-rw-r--r--,1,root,root,19052,Jul,31,2019,ace_of_spades.raw
drwxr-xr-x,2,root,root,4096,Jul,31,2019,active_scan
-rw-r--r--,1,root,root,2807,Jul,17,2019,alarm.py
-rwxr--r--,1,root,root,6830085,Jul,31,2019,american-english-insane
-rw-r--r--,1,root,root,7732,Dec,21,2015,AndroidManifest.xml
-rw-r--r--,1,root,root,19052,Jul,31,2019,aos2.txt
-rw-r--r--,1,root,root,25405,Jul,31,2019,aos.txt
-rw-r--r--,1,root,root,2103,Jul,31,2019,b2.txt
-rw-r--r--,1,root,root,5,Jul,31,2019,base64.txt
-rw-r--r--,1,root,root,62,Jul,31,2019,base.txt
-rw-r--r--,1,root,root,523,Jul,31,2019,bse64.txt
-rw-r--r--,1,root,root,30462,Jul,31,2019,b.txt
-rw-r--r--,1,root,root,2089344,Dec,21,2015,classes.dex
-rw-r--r--,1,root,root,0,Oct,12,2019,dict_test.txt
-rw-r--r--,1,root,root,146634,Jul,17,2019,fin.pcap
-rw-r--r--,1,root,root,2039,Jul,24,2019,fuzzer.py
drwxr-xr-x,2,root,root,4096,Jul,31,2019,fuzz_results
drwxr-xr-x,3,root,root,4096,Aug,6,2019,lab11
-rw-r--r--,1,root,root,9724,Jul,21,2019,lab8
-rw-r--r--,1,root,root,19640,Jul,21,2019,lab8_2
-rw-r--r--,1,root,root,16780,Dec,21,2015,LICENSE.txt
drwxr-xr-x,2,root,root,4096,Aug,14,2019,META-INF
drwxr-xr-x,4,root,root,4096,Aug,14,2019,org
drwxr-xr-x,2,root,root,4096,Aug,11,2019,password
drwxr-xr-x,3,root,root,4096,Oct,12,2019,POLYHACK19
-rw-r--r--,1,root,root,1366,Jul,17,2019,README
drwxr-xr-x,6,root,root,4096,Aug,14,2019,res
-rw-r--r--,1,root,root,1700,Dec,21,2015,resources.arsc
drwxr-xr-x,6,root,root,4096,Aug,14,2019,sample
-rw-r--r--,1,root,root,937588,Nov,14,2018,sample.apk
drwxr-xr-x,3,root,root,4096,Jul,31,2019,seclists
-rw-r--r--,1,root,root,400368,Jul,17,2019,set1.pcap
-rw-r--r--,1,root,root,64000075,Jul,17,2019,set2.pcap
-rw-r--r--,1,root,root,17383,Jul,17,2019,set3.pcap
-rw-r--r--,1,root,root,155,Jul,17,2019,test.py
-rwxr-xr-x,1,root,root,223540,Sep,4,2018,vmware-install.pl
drwxr-xr-x,9,root,root,4096,Sep,4,2018,vmware-tools-distrib
drwxr-xr-x,2,root,root,4096,Jul,31,2019,website
-rw-r--r--,1,root,root,146786,Jul,17,2019,xmas.pcap
-rw-r--r--,1,root,root,2810957,Jul,31,2019,fuzz1.csv
drwxr-xr-x,4,root,root,4096,Aug,1,2019,ctf-summer2019
drwxr-xr-x,2,root,root,4096,Aug,1,2019,database
drwxr-xr-x,8,root,root,4096,Aug,1,2019,www
-rw-r--r--,1,root,root,1187430,Aug,1,2019,database-final-20190801.sql
-rw-r--r--,1,root,root,472,Aug,1,2019,admin.php
-rw-r--r--,1,root,root,3162,Aug,1,2019,board.php
-rw-r--r--,1,root,root,23,Aug,1,2019,FLAG
-rw-r--r--,1,root,root,5071,Aug,1,2019,global.6.css
drwxr-xr-x,2,root,root,4096,Aug,1,2019,HIDDEN_DOT_GIT_FOLDER
drwxr-xr-x,2,root,root,4096,Aug,1,2019,includes
-rw-r--r--,1,root,root,418,Aug,1,2019,index.php
-rw-r--r--,1,root,root,19930,Aug,1,2019,license.txt
-rw-r--r--,1,root,root,279,Aug,1,2019,login.php
-rw-r--r--,1,root,root,164866,Aug,1,2019,logo2.png
-rw-r--r--,1,root,root,164748,Aug,1,2019,logo.png
-rw-r--r--,1,root,root,942,Aug,1,2019,logout.php
-rw-r--r--,1,root,root,1103,Aug,1,2019,main.php
-rw-r--r--,1,root,root,7194,Aug,1,2019,readme.html
drwxr-xr-x,2,root,root,4096,Aug,1,2019,scoreboard
-rw-r--r--,1,root,root,1229,Aug,1,2019,site_burichan.css
-rw-r--r--,1,root,root,1217,Aug,1,2019,site_futaba.css
-rw-r--r--,1,root,root,1334,Aug,1,2019,site_kusabax.css
-rw-r--r--,1,root,root,713,Aug,1,2019,sitemenu_burichan.css
-rw-r--r--,1,root,root,695,Aug,1,2019,sitemenu_futaba.css
-rw-r--r--,1,root,root,4951,Aug,1,2019,wp-activate.php
drwxr-xr-x,9,root,root,4096,Aug,1,2019,wp-admin
-rw-r--r--,1,root,root,271,Aug,1,2019,wp-blog-header.php
-rw-r--r--,1,root,root,4946,Aug,1,2019,wp-comments-post.php
-rw-r--r--,1,root,root,3006,Aug,1,2019,wp-config.php
-rw-r--r--,1,root,root,2726,Aug,1,2019,wp-config-sample.php
drwxr-xr-x,5,root,root,4096,Aug,1,2019,wp-content
-rw-r--r--,1,root,root,2956,Aug,1,2019,wp-cron.php
drwxr-xr-x,12,root,root,4096,Aug,1,2019,wp-includes
-rw-r--r--,1,root,root,2380,Aug,1,2019,wp-links-opml.php
-rw-r--r--,1,root,root,2714,Aug,1,2019,wp-load.php
-rw-r--r--,1,root,root,33043,Aug,1,2019,wp-login.php
-rw-r--r--,1,root,root,8252,Aug,1,2019,wp-mail.php
-rw-r--r--,1,root,root,11115,Aug,1,2019,wp-settings.php
-rw-r--r--,1,root,root,26256,Aug,1,2019,wp-signup.php
-rw-r--r--,1,root,root,4026,Aug,1,2019,wp-trackback.php
-rw-r--r--,1,root,root,3032,Aug,1,2019,xmlrpc.php
-rw-r--r--,1,root,root,13050,Aug,1,2019,yui.2.css
-rw-r--r--,1,root,root,70,Aug,1,2019,FLAG
-rw-r--r--,1,root,root,878,Aug,1,2019,dblib.php
-rw-r--r--,1,root,root,118,Aug,1,2019,index.html
-rw-r--r--,1,root,root,5997,Aug,1,2019,index.php
-rw-r--r--,1,root,root,7599,Aug,1,2019,about.php
-rw-r--r--,1,root,root,3405,Aug,1,2019,admin-ajax.php
